rollout/episode_reward,rollout/rew_surface_coverage_2d,time/total_timesteps,rollout/rew_collision,rollout/rew_termination,rollout/total_reward,rollout/episode_length,time/iterations,time/fps,time/training,train/n_updates,train/policy_gradient_loss,train/clip_range_vf,train/loss,train/value_loss,train/clip_fraction,train/clip_range,train/approx_kl,train/entropy_loss,train/explained_variance,train/learning_rate
0.536,0.566,524288,-0.07,0.019,0.515,18.963,32,248,6.744564533233643,155,-0.04400290967751062,0.2,4.598184585571289,6.088226633146405,0.4476806640625,0.2,0.08834339,-3.8460491463541984,0.6075343787670135,0.0001
0.546,0.567,540672,-0.066,0.02,0.521,18.233,33,248,6.7607152462005615,160,-0.042444277576578315,0.2,4.050378799438477,6.025973244383931,0.44017333984375,0.2,0.08522845,-3.8961702659726143,0.6045713722705841,0.0001
0.512,0.56,557056,-0.068,0.021,0.513,18.473,34,247,6.74213981628418,165,-0.04381483616307378,0.2,3.1731293201446533,5.991163310036063,0.44947509765625,0.2,0.09061901,-3.902591874450445,0.6221719086170197,0.0001
0.552,0.613,573440,-0.063,0.024,0.574,19.836,35,247,6.724233150482178,170,-0.04406638218570151,0.2,4.629587650299072,6.045465357974171,0.4480712890625,0.2,0.08612577,-3.9134443551301956,0.6199449002742767,0.0001
0.533,0.594,589824,-0.065,0.021,0.55,18.431,36,247,6.876973867416382,175,-0.04601887185272062,0.2,3.2599244117736816,5.932032361254096,0.44010009765625,0.2,0.08669517,-3.8890285447239874,0.6138237714767456,0.0001
0.557,0.611,606208,-0.065,0.024,0.569,19.799,37,247,6.732239723205566,180,-0.04402839706453961,0.2,5.253323554992676,5.641087744012475,0.44833984375,0.2,0.09199245,-3.8404884915798903,0.628589928150177,0.0001
0.566,0.631,622592,-0.059,0.021,0.593,19.341,38,247,6.680346727371216,185,-0.04345968142151833,0.2,4.298433780670166,5.769809990376234,0.4498779296875,0.2,0.0947804,-3.8474665485322475,0.6249473392963409,0.0001
0.577,0.632,638976,-0.057,0.025,0.599,20.036,39,247,6.714057683944702,190,-0.044204199642990716,0.2,4.828153610229492,5.666686730086804,0.44283447265625,0.2,0.091100484,-3.862384379655123,0.6340748071670532,0.0001
0.567,0.623,655360,-0.065,0.024,0.582,19.678,40,246,6.68380069732666,195,-0.04431953346065711,0.2,4.161883354187012,5.484716509282589,0.444775390625,0.2,0.09124403,-3.876822042092681,0.6505928337574005,0.0001
0.541,0.589,671744,-0.065,0.019,0.543,18.617,41,247,6.732976913452148,200,-0.04282794413738884,0.2,3.6164114475250244,6.118677243962884,0.46246337890625,0.2,0.09681317,-3.9005853205919268,0.6177901923656464,0.0001
0.53,0.569,688128,-0.064,0.021,0.526,18.821,42,247,6.760076522827148,205,-0.04354247473020223,0.2,5.378266334533691,6.032136420160532,0.45799560546875,0.2,0.10129844,-3.867224334925413,0.6162459850311279,0.0001
0.518,0.547,704512,-0.069,0.018,0.497,18.096,43,247,6.8057239055633545,210,-0.04381198496557772,0.2,2.9524524211883545,5.828710767999292,0.4610107421875,0.2,0.099742,-3.7994244560599326,0.6283064186573029,0.0001
0.538,0.59,720896,-0.061,0.021,0.551,19.206,44,246,6.729107141494751,215,-0.04306635042303242,0.2,4.584855079650879,6.229777170717716,0.45106201171875,0.2,0.10534386,-3.7779929012060167,0.5991917848587036,0.0001
0.544,0.609,737280,-0.06,0.022,0.571,19.584,45,247,2.035269260406494,220,0.008312739974329459,0.2,3.622652053833008,5.885082923259931,0.3603414948453608,0.2,0.070642166,-3.792165983583509,0.615882396697998,0.0001
0.54,0.581,753664,-0.063,0.019,0.538,19.83,46,245,6.776669263839722,225,-0.04510155738971662,0.2,3.648899555206299,5.780299719423056,0.4529541015625,0.2,0.09908889,-3.775284614786506,0.6279208362102509,0.0001
0.581,0.587,770048,-0.067,0.018,0.538,19.991,47,245,6.7208967208862305,230,-0.04443375900591491,0.2,3.7075960636138916,5.619037323817611,0.4580322265625,0.2,0.10112466,-3.7491997756063937,0.6321296095848083,0.0001
0.543,0.619,786432,-0.061,0.024,0.582,18.725,48,246,6.808130502700806,235,-0.04283964778296649,0.2,2.6487159729003906,6.084534329175949,0.46715087890625,0.2,0.10457802,-3.695464541763067,0.6157542169094086,0.0001
0.54,0.605,802816,-0.055,0.023,0.573,19.449,49,246,6.7315521240234375,240,-0.042781929131888316,0.2,5.115446090698242,5.752485154941678,0.465625,0.2,0.10226978,-3.6964682176709176,0.6303484737873077,0.0001
