time/fps,rollout/episode_length,rollout/total_reward,rollout/episode_reward,time/iterations,time/total_timesteps,rollout/rew_surface_coverage_2d,rollout/rew_collision,rollout/rew_termination,train/entropy_loss,train/explained_variance,train/learning_rate,train/clip_range,train/policy_gradient_loss,train/value_loss,train/clip_fraction,train/clip_range_vf,train/n_updates,time/training,train/approx_kl,train/loss
120,12.996,0.491,0.512,71,1163264,0.554,-0.08,0.016,-7.326628224324372,0.4371493458747864,0.0001,0.2,-0.03037817659618707,8.663304798828198,0.4617698244552058,0.2,350,4.598875045776367,0.06123011,5.120270729064941
119,12.735,0.514,0.514,72,1179648,0.573,-0.078,0.019,-7.333291753937926,0.46157020330429077,0.0001,0.2,-0.027112933135108104,7.6351117894619325,0.4635482594936709,0.2,355,4.4046571254730225,0.069121175,3.499742269515991
120,10.732,0.46,0.464,73,1196032,0.527,-0.083,0.017,-7.3374324962250865,0.40392303466796875,0.0001,0.2,-0.01507220145548531,9.013474919221583,0.439098597359736,0.2,360,3.4046454429626465,0.050956197,7.956321716308594
119,12.353,0.499,0.497,74,1212416,0.558,-0.078,0.02,-7.286808749973374,0.3973180651664734,0.0001,0.2,-0.032826976829793894,9.365327477721827,0.46653034116331094,0.2,365,5.004666805267334,0.05945773,6.370181083679199
119,11.576,0.473,0.474,75,1228800,0.541,-0.085,0.017,-7.261866570807792,0.4150335192680359,0.0001,0.2,-0.022868460233046395,8.50562894795392,0.4638935810810811,0.2,370,4.13314414024353,0.05305004,5.013002395629883
119,13.14,0.513,0.525,76,1245184,0.568,-0.075,0.02,-7.203512631453477,0.4024040699005127,0.0001,0.2,-0.025197946435058273,9.401653858283897,0.4586038961038961,0.2,375,4.3302764892578125,0.08012562,4.096319198608398
119,11.91,0.471,0.498,77,1261568,0.541,-0.087,0.017,-7.151479858784039,0.4354556202888489,0.0001,0.2,-0.011204341991337198,8.47245715413283,0.4279670577617328,0.2,380,3.077322483062744,0.054065596,6.348232269287109
119,12.414,0.529,0.511,78,1277952,0.589,-0.08,0.02,-7.123436314958922,0.4136705994606018,0.0001,0.2,-0.01317454761707447,9.191051437821187,0.43441901408450706,0.2,385,3.20261549949646,0.053192016,6.065952301025391
119,11.096,0.479,0.464,79,1294336,0.544,-0.08,0.015,-7.104684224146854,0.42169445753097534,0.0001,0.2,-0.006699027971651391,8.785212689026228,0.43943084600760457,0.2,390,2.942962646484375,0.06029623,5.160706520080566
119,12.428,0.496,0.51,80,1310720,0.559,-0.08,0.017,-7.050844933436467,0.4008983373641968,0.0001,0.2,-0.008554924899139083,8.848938828248244,0.4188401442307692,0.2,395,2.912726879119873,0.059907347,4.278521537780762
119,13.01,0.489,0.512,81,1327104,0.548,-0.078,0.019,-7.074238669964695,0.42600375413894653,0.0001,0.2,-0.007032897326979757,8.806835865789605,0.4318374515503876,0.2,400,2.8852057456970215,0.06034436,6.335569381713867
120,12.251,0.497,0.498,82,1343488,0.56,-0.082,0.019,-7.068485830248017,0.44764018058776855,0.0001,0.2,-0.000286067480739859,8.111386227853519,0.3983166881443299,0.2,405,2.176069736480713,0.04140681,4.7162981033325195
119,14.417,0.536,0.574,83,1359872,0.59,-0.075,0.021,-7.033242686750925,0.4389796257019043,0.0001,0.2,-0.025194081520368606,8.270890613497816,0.45718987944162437,0.2,410,4.417460680007935,0.059025846,6.888561725616455
119,13.071,0.484,0.507,84,1376256,0.544,-0.076,0.015,-7.0112954211957526,0.4447748064994812,0.0001,0.2,-0.01678208066714984,8.532523425420125,0.44505208333333335,0.2,415,3.659209966659546,0.04913537,6.849584102630615
120,12.515,0.528,0.484,85,1392640,0.581,-0.075,0.022,-7.071334608877548,0.4413774609565735,0.0001,0.2,-0.0280838695900383,8.281162851988666,0.4562026515151515,0.2,420,4.4438698291778564,0.0663388,5.8545122146606445
119,13.089,0.507,0.516,86,1409024,0.562,-0.072,0.018,-7.037872422439148,0.4438909888267517,0.0001,0.2,-0.027096825219340072,8.343665864328088,0.443364344783715,0.2,425,4.368436813354492,0.058237996,7.147593021392822
120,13.925,0.547,0.547,87,1425408,0.596,-0.071,0.022,-7.061321289268966,0.43193209171295166,0.0001,0.2,-0.026123553495278062,8.428307183010062,0.4511316043814433,0.2,430,4.348524332046509,0.06305664,4.209549427032471
120,13.012,0.494,0.515,88,1441792,0.557,-0.079,0.017,-7.06677704015054,0.44390738010406494,0.0001,0.2,-0.02329255781872788,8.504210234345155,0.44858384986225897,0.2,435,4.050666093826294,0.052294485,6.862759113311768
