time/fps,rollout/rew_collision,time/iterations,rollout/total_reward,rollout/rew_surface_coverage_2d,rollout/episode_reward,rollout/rew_termination,rollout/episode_length,time/total_timesteps,train/clip_range,train/policy_gradient_loss,train/approx_kl,train/n_updates,train/value_loss,train/entropy_loss,train/loss,train/clip_range_vf,train/learning_rate,time/training,train/clip_fraction,train/explained_variance
256,-0.065,61,0.563,0.604,0.547,0.024,19.224,999424,0.2,-0.03460347264262964,0.1819287,300,5.409604951739311,-2.897512371465564,3.6742942333221436,0.2,0.0001,6.401971340179443,0.488720703125,0.655864030122757
256,-0.063,62,0.575,0.614,0.566,0.024,19.223,1015808,0.2,-0.03372428470174782,0.18336315,305,5.299321441724897,-2.960326059535146,2.2230706214904785,0.2,0.0001,6.492849111557007,0.4807373046875,0.6568776667118073
256,-0.065,63,0.53,0.575,0.545,0.02,18.543,1032192,0.2,-0.03337323338419083,0.18642856,310,5.197879093512893,-2.9711779285222293,1.467769742012024,0.2,0.0001,6.4530980587005615,0.48082275390625,0.6623715758323669
256,-0.068,64,0.557,0.606,0.552,0.02,19.214,1048576,0.2,-0.03438359594074427,0.19157214,315,5.446670267358423,-2.873239964619279,5.002240180969238,0.2,0.0001,6.476885080337524,0.4844482421875,0.6613873839378357
255,-0.054,65,0.599,0.632,0.59,0.022,20.665,1064960,0.2,-0.03439381588541437,0.19665527,320,5.530340126901865,-2.8617162752896546,4.883168697357178,0.2,0.0001,6.4613072872161865,0.4867919921875,0.6374718844890594
256,-0.066,66,0.556,0.601,0.546,0.021,18.198,1081344,0.2,-0.025957265078005467,0.20210527,325,5.104200970042836,-2.883539922887629,2.6652631759643555,0.2,0.0001,5.518094539642334,0.4805255681818182,0.6792421638965607
256,-0.061,67,0.554,0.594,0.528,0.021,18.793,1097728,0.2,-0.031242730306985322,0.19491684,330,5.557067516446113,-2.9038512885570524,5.233694553375244,0.2,0.0001,6.482170343399048,0.48446044921875,0.6397814750671387
255,-0.055,68,0.553,0.588,0.554,0.02,19.693,1114112,0.2,-0.017594728484401783,0.18889199,335,5.6996664909800145,-2.9463060241342856,4.935286998748779,0.2,0.0001,4.769160270690918,0.45587845010615713,0.6345415115356445
256,-0.052,69,0.629,0.654,0.615,0.027,22.497,1130496,0.2,-0.011864039799511283,0.21667685,340,5.267710991670613,-2.924228136402025,4.1502909660339355,0.2,0.0001,4.114951133728027,0.4503641917293233,0.6566789150238037
256,-0.06,70,0.578,0.616,0.525,0.023,18.134,1146880,0.2,-0.03411307650094386,0.18373975,345,4.964006478711963,-2.924565875530243,3.492671251296997,0.2,0.0001,6.443277835845947,0.48505859375,0.683552086353302
255,-0.048,71,0.635,0.657,0.593,0.026,21.658,1163264,0.2,-0.03225966683835495,0.21878503,350,5.494474328187425,-2.9732470150540693,4.351463317871094,0.2,0.0001,5.980153799057007,0.47537679173693087,0.6531467437744141
256,-0.064,72,0.535,0.58,0.573,0.019,20.172,1179648,0.2,0.022053144477746065,0.14437206,355,5.3811903462690465,-2.9709941934136785,3.707070827484131,0.2,0.0001,1.698413372039795,0.3832261029411765,0.6597149670124054
253,-0.059,73,0.576,0.613,0.564,0.022,19.502,1196032,0.2,-0.03414051870441101,0.19315746,360,5.000138546906266,-2.922068838979684,3.4438233375549316,0.2,0.0001,6.225849866867065,0.48825571895424835,0.6782131791114807
253,-0.052,74,0.603,0.628,0.568,0.027,19.514,1212416,0.2,0.017900690610986203,0.12912074,365,5.268143685091109,-2.9005660982359025,3.8710460662841797,0.2,0.0001,1.7036242485046387,0.39318266369047616,0.6598746180534363
254,-0.063,75,0.544,0.588,0.557,0.02,19.461,1228800,0.2,-0.02282505239160739,0.17568693,370,5.270294448475779,-2.9272249142328897,2.152557849884033,0.2,0.0001,4.940093517303467,0.46196630658436216,0.6697724759578705
254,-0.06,76,0.567,0.603,0.569,0.023,20.02,1245184,0.2,0.01669084686377549,0.1111385,375,5.474813044389939,-2.908650342155905,2.5426459312438965,0.2,0.0001,1.876481294631958,0.38306316844919786,0.652875155210495
253,-0.061,77,0.534,0.575,0.543,0.02,18.776,1261568,0.2,-0.029414313603047047,0.18435991,380,5.3108258754014965,-3.050213408470154,2.7232041358947754,0.2,0.0001,6.466442584991455,0.48505859375,0.6547030210494995
254,-0.063,78,0.582,0.622,0.586,0.024,19.517,1277952,0.2,-0.014106237698191157,0.1789823,385,5.054975119453889,-3.020055898913631,2.4752471446990967,0.2,0.0001,4.3449883460998535,0.4441550925925926,0.6743259727954865
255,-0.062,79,0.541,0.582,0.558,0.022,19.783,1294336,0.2,0.011556229969018726,0.12170175,390,5.08666550604653,-3.11071594744497,2.668466091156006,0.2,0.0001,2.126302719116211,0.3817757701421801,0.6810934543609619
255,-0.063,80,0.559,0.602,0.571,0.021,19.408,1310720,0.2,-0.03247046719916631,0.19257991,395,5.505763212712197,-3.049403783789033,3.2828710079193115,0.2,0.0001,6.279144763946533,0.48044993980738365,0.6524350047111511
254,-0.067,81,0.578,0.624,0.577,0.021,19.362,1327104,0.2,0.021416610842229934,0.15283711,400,5.302156113996738,-3.053364566186579,2.6101605892181396,0.2,0.0001,1.6406900882720947,0.3810499237804878,0.6596150696277618
255,-0.064,82,0.557,0.6,0.569,0.021,19.494,1343488,0.2,0.029828443942779257,1.3132632,405,5.476912572402362,-3.0459233605584433,4.603545665740967,0.2,0.0001,1.2988646030426025,0.3309714147286822,0.6528593301773071
255,-0.065,83,0.561,0.603,0.564,0.024,18.683,1359872,0.2,-0.033276532537638556,0.17426161,410,5.287012320756912,-3.0055692445486786,2.3085362911224365,0.2,0.0001,6.4522950649261475,0.479833984375,0.663370281457901
255,-0.068,84,0.594,0.637,0.592,0.025,19.86,1376256,0.2,-0.033465912313840815,0.18998954,415,5.309291098639369,-2.9409403461962937,1.677707314491272,0.2,0.0001,6.5484936237335205,0.48057861328125,0.6621434092521667
255,-0.064,85,0.549,0.594,0.568,0.02,19.143,1392640,0.2,0.025511462422675334,0.191405,420,4.985548453042971,-3.021762790295902,2.665447950363159,0.2,0.0001,1.506509780883789,0.3422294463087248,0.6794211864471436
255,-0.062,86,0.512,0.556,0.532,0.019,17.918,1409024,0.2,-0.001974387381536265,0.13697511,425,5.476254366503822,-3.015560949510998,3.744659423828125,0.2,0.0001,3.6389570236206055,0.4127170138888889,0.6476990878582001
256,-0.066,87,0.571,0.614,0.581,0.023,19.839,1425408,0.2,-0.02639159400488431,0.20242462,430,5.394250952082572,-3.0022362745065485,4.843480110168457,0.2,0.0001,5.626017332077026,0.4577619154676259,0.6568704843521118
255,-0.06,88,0.561,0.599,0.582,0.022,19.094,1441792,0.2,-0.01733507690612203,0.18261099,435,5.207855427290694,-3.007387008095196,2.7796618938446045,0.2,0.0001,4.723013401031494,0.4503646948608137,0.6654641926288605
256,-0.066,89,0.542,0.589,0.559,0.019,19.111,1458176,0.2,-0.035323094233172016,0.19338496,440,5.195630277320743,-3.0309405542910097,4.633761882781982,0.2,0.0001,6.455658197402954,0.481298828125,0.6574105322360992
256,-0.066,90,0.547,0.593,0.55,0.021,18.998,1474560,0.2,-0.036602129072707615,0.18145779,445,5.297455570846796,-3.025929406657815,4.326436996459961,0.2,0.0001,6.4151451587677,0.47982177734375,0.6580956876277924
256,-0.058,91,0.576,0.613,0.582,0.022,20.252,1490944,0.2,-0.033121540254796855,0.1926551,450,5.490326972678304,-3.0703240394592286,2.357456922531128,0.2,0.0001,6.451428651809692,0.4821533203125,0.6541436314582825
